Category,Message
ham,Its good to hear from you
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
ham,Can you pls send me that company name. In saibaba colany
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
ham,Just nw i came to hme da..
ham,Morning only i can ok.
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
ham,Hey morning what you come to ask:-) pa...
ham,I;m reaching in another 2 stops.
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
ham,Okie
ham,Did u fix the teeth?if not do it asap.ok take care.
ham,Bugis oso near wat...
ham,"They can try! They can get lost, in fact. Tee hee"
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
ham,"Oh... Icic... K lor, den meet other day..."
ham,Still in customer place
ham,Die... Now i have e toot fringe again...
ham,Jus came back fr lunch wif my sis only. U leh?
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham,Ok no prob...
ham,"Miss ya, need ya, want ya, love ya."
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,"&lt;#&gt; , that's all? Guess that's easy enough"
ham,Easy ah?sen got selected means its good..
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...
