data,labels
"musician tackle red tape      musician group tackle visa regulation blame hinder british act chance succeed atlantic      singer hope perform expect pay one,three hundred xc2xa3680 simply obtain visa group include musician union call end raw deal face british performer act face comparable expense bureaucracy visit uk promotional purpose      nigel mccune musicians union say british musician disadvantage compare counterpart sponsor petition behalf form amount nearly thirty page musician face tough regulation athlete journalist mistake form risk year ban ability career say mr mccune      world big music market mean creaky bureaucracy say mr mccune current situation prevent british act maintain momentum develop add      musician union stance endorse music manager forum mmf british artist face uphill struggle succeed thank tough visa requirement see impractical mmfs general secretary james seller say imagine orchestra orkney member travel london visas process      market see holy grail benchmark success going fight important market like europe india china add mr seller department medium culture sport spokeswoman say aware people experience problem work embassy record industry embassy spokesman say aware entertainer require visas time specific visa process application speedily aware importance cultural exchange good facilitate add",entertainment
"u2s desire number      u2 win prestigious grammy award hit vertigo stubbornly cling status big band world      popular group history rock thing common music inspire appeal generation distinctive groundbreake success music compelling performer charismatic intelligent good decision foot ground want want big band stop want beatle roll stone rem hold queen catsuit u2 spade churn new album dismantle atomic bomb come twenty-eight year schoolfriend get dublin seventeen year joshua tree cement place time rock list      lose edginess raw youthful force propel lose desire ability craft song album      vertigo single new album go straight uk single chart number knock eminem spot give 26th ten hit challenge big bold well record world listen bono recently say drummer larry mullen jr echo sentiment competitive want radio big single not want thought veteran band band considerable power ensure remain big band world accord magazine editor paul rees      make hugely determined formidable add equally determined push music continue stand ve constantly invent challenge rock band get well age key ingredient fact highly organise mr rees say right way group bear mullen appeal bandmate high school notice board attract fellow pupil paul hewson bono vocal adam clayton bass david evans edge guitar brother dick      dick evans soon drop piece know feedback hype settle u2      one thousand, nine hundred and seventy-eight win talent contest get noticed manager paul mcguinness brilliant coarse mcguinness recently say way exactly badly struggle attract record company attention later describe pretty damn average strange eerie scout see live release ireland single top national chart one thousand, nine hundred and seventy-nine one thousand, nine hundred and eighty lead deal island debut album boy stadium fill anthemic sound u2s aim start album war see breakthrough side atlantic go number uk twelve song like sunday bloody sunday new year day bring success image political spiritual band bono reject cliche      stage performance include flag wave speaker climb drum throwing earn reputation electric performer appearance 1985s live aid widely see seal global stardom      one thousand, nine hundred and eighty-seven joshua tree break sale record see band reach height power hit include street not find look song take band epic atmospheric sound simple powerful popular pinnacle end decade mark crucial point band reach yearned new challenge achievement come form exploration different branch rock foray electronic dance music plus wildly extravagant stage show try retain mass appeal achtung baby album one thousand, nine hundred and ninety-one follow zooropa pop correspond stadium tour feature giant olive fly car live phone call white house bonos transformation alter ego fly macphisto building parallel reputation pleasure bandmate campaigner issue global debt aid release dismantle atomic bomb sell one hundred and twenty-five million album world want",entertainment
"rocker doherty stage fight      rock singer pete doherty involve fight band guitarist big gig date      babyshamble play five,zero fan londons brixton academy tuesday libertines singer trade blow guitarist patrick walden separate bundle stage return end set early hold audience overcrowd monday doherty face blackmail robbery charge court deny xc2xa350,zero bail judge agree extend two thousand, two hundred gmt curfew deadline hour play brixton gig      babyshamble form acrimonious departure libertine play warm garage north london monday tuesday doherty bandmate introduce crowd mick jones clash guitarist produce libertine second album babyshamble take stage frenzied reception two thousand, two hundred gmt launch single killamangiro reach number december group stop song persuade fan push forward allow security guard pull people crush doherty appeal fan calm say people getting hurt ve got      music resume minute later song singer appear accidentally disconnect waldens guitar leading pair trade kick punch bouncer step band leave stage return minute finish fifty minute performance trouble doherty twenty-five home midnight observe curfew condition bail monday judge agree allow perform condition request change bail term regular occurrence singer arrest fellow musician alan wass february allege dispute documentary maker max carlish london hotel court eighteen april",entertainment
snicket tops box office chart      film adaptation lemony snicket novel top north america box office chart displace ocean twelve      series unfortunate event star jim carrey take thirty.two xc2xa315.five debut weekend ocean twelve fall number new entry spanglish enter chart number take xc2xa34.six series unfortunate event star scottish comedian billy connelly carrey take number different role surreal film new entry ten flight phoenix number star dennis quaid carrey entertain crowd uk premiere lemony snicket london friday actor grab co star meryl streep whisk leicester square base cult children book author daniel handler film follow child orphan parent die fire take wicked uncle count olaf play carrey scheme hand fortune,entertainment
oceans raid box office      ocean crime caper sequel star george clooney brad pitt julia roberts go straight number box office chart      take forty.eight xc2xa321 weekend ticket sale accord studio estimate sequel follow master criminal try pull major heist europe knock week number national treasure place wesley snipe blade trinity second take sixteen.one xc2xa38.four round animate fable polar express star tom hanks festive comedy christmas krank      oceans box office triumph mark fourth big opening december release film lord rings trilogy sequel narrowly beat two thousand and one predecessor ocean take thirty-eight.one xc2xa319.eight opening weekend one hundred and eighty-four xc2xa395.eight total remake 1960s film star frank sinatra rat pack ocean direct oscar win director steven soderbergh soderbergh return direct hit sequel reunite clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast fun good holiday movie say dan fellman president distribution warner bros critic complimentary one hundred and ten xc2xa357.two project los angeles times label dispirit vanity project milder review new york times dub sequel unabashedly trivial,entertainment
landmark movie two thousand and four hail      film professional declare fahrenheit nine/eleven passion christ significant cultural milestone two thousand and four      american film institute afi hail mel gibson biblical epic michael moores political documentary inspire national debate claim film maker toss hollywood convention window institute cite death actor marlon brando change landscape tv news refer marlon brando death july age eighty thirteen strong afi jury conclude art screen act chapter brando brando      credit screen legend raw hypnotic energy ability create character like stanley kowalski terry malloy live forever annal film history list acknowledge key influence trend world film broadcast current trend highlight final broadcast veteran newscaster tom brokaw barbara walter impend retirement cbs news anchor dan place afi fear news landscape newscaster personality journalist balance integrity increasingly ignore      afi question long term viability evening news broadcast light twenty-four hour news channel internet list draw attention grow influence broadcast regulator federal communications commission fcc      institute conclude threat regulation go freefall follow janet jacksons wardrobe malfunction live super bowl performance february profound effect television unsure fcc rule issue creative community begin self censor show disturb trend country found free expression afi jury declare illustrate point afi cite abc affiliates refusal air steven spielbergs film save private ryan unedited form fear possible fine,entertainment
"pete doherty miss bail deadline      singer pete doherty spend weekend jail come xc2xa3150,zero bond money bail time      libertine singer grant bail curfew restriction highbury corner magistrate court charge robbery blackmail lawyer say money raise time mr doherty twenty-five arrest follow allege incident london hotel wednesday evening musician alan wass twenty-three north london appear court accuse offence      magistrate impose range bail condition mr doherty include curfew two thousand, two hundred seven hundred attend drug rehabilitation centre tell able leave home accompany security firm surrender passport report daily local police station mr wass give curfew tell surrender passport mr doherty leave libertine end june two thousand and four continue perform band babyshamble singer link supermodel kate moss arrest police call islington hotel response claim man assault man thirty later take university college hospital london facial injury discharge lawyer represent mr doherty mr wass say outside court pair strenuously deny charge",entertainment
focker retain film chart crown      comedy meet focker hold number spot north american box office second week      take forty-two.eight xc2xa323.seven weekend make overall taking one hundred and sixty-three xc2xa390 twelve day accord studio estimate take nineteen.one xc2xa39.nine christmas day high taking day box office history sequel ben stiller comedy meet parent star robert de niro dustin hoffman barbra streisand success meet focker help produce record box office revenue two thousand and four say paul dergarabedian president industrys tracker exhibitor relation ve strong anticipate final week year help industry end high note say mr dergarabedian      meet focker break box office record money take new year eve twelve.two xc2xa36.two new year day take eighteen xc2xa39.four previous new year eve record set two thousand cast away eight.five xc2xa34.five lord rings return king hold new year day title twelve.eight xc2xa36.seven christmas taking twenty-six.five 2003s figure blame christmas fall weekend year weekend twelve film take estimate one hundred and twenty-five.four xc2xa365.eight four.three increase weekend year major release week provide competition meet focker lemony snicket series unfortunate event finish second place fourteen.seven xc2xa37.seven aviator star leonardo dicaprio howard hughes end position take eleven.two xc2xa35.nine comedy fat albert co write bill cosby move chart fourth place take ten.seven xc2xa35.six,entertainment
"gig award scissor sister      new york band scissor sister win gig year award performance years festival      award vote listener virgin radio compile ten dominate newcomer music scene year quirky disco rock band beat red hot chili pepper come second hyde park performance june virgin radio dj pete mitchell say year see amazing array talent come mainstream add scissor sister original eccentric band come surprise british public lapping performance newcomers keane come place august gig festival follow maroon snow patrol      music veteran david bowie earn place list number ten respectively number seven oxfam fair trade gig london hammersmith apollo october feature performance rem razorlight coldplay chris martin glasgow franz ferdinand earn place number home town performance april annual survey vote nearly four,zero listener",entertainment
"johnny depp acting outlaw      johnny depp late role peter pan creator jm barrie find neverland celebrate hollywood maverick talent depp unlikely major star give preference take dark idiosyncratic role instead surefire box office hit long run work relationship equally unconventional director tim burton depp bear kentucky one thousand, nine hundred and sixty-three want rock star playing number band support act iggy pop b-52s florida visit los angeles wife introduce actor nicolas cage      one thousand, nine hundred and eighty-four start film career play doom teenager horror film nightmare elm street year later play soldier oliver stones vietnam epic platoon tv depp star play undercover cop tommy hanson series twenty-one jump street year one thousand, nine hundred and eighty-seven      one thousand, nine hundred and ninety begin partnership burton dark fairy tale edward scissorhand young man blade hand win plaudit one thousand, nine hundred and ninety-three downbeat film eat gilbert grape play sensitive youth look overweight mother retard young brother play leonardo dicaprio role burton ed wood star depp craze cult film maker wood one thousand, nine hundred and ninety-four play sensitive role major film donnie brasco portray undercover cop infiltrate mafia ring one thousand, nine hundred and ninety-seven direct film date brave story indian man offer money appear snuff film      year later play hunter thompson terry gilliam ambitious poorly receive big screen adaptation fear loathe las vegas work tim burton one thousand, nine hundred and ninety-nine horror film sleepy hollow appear opposite dame judi dench juliette binoche chocolat performance pirate caribbean earn golden globe bafta nomination critic think base mannerism friend roll stone guitarist keith richard late role find neverland explore jm barrie relationship sylvia kate winslet children depps charismatic performance draw audience adult child alike barrie vivid imagination call fifth child group film director marc forster      child french singer vanessa paradi have previously long term relationship british model kate moss theme childrens literature depps career long association tim burton set continue role play willy wonka remake roald dahls classic charlie chocolate factory british tv comedy fan remember depps guest role final episode bbc sketch programme fast cite favourite surprise depp vary intriguing career",entertainment
